Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2156,0,870.0,1368.6217905774479,78.31899799930397,9817.119190003723,103.0,11.764998780328375,0.0,870,1400,1600,2000,2600,3300,4100,4800,6900,9800,9800
,Aggregated,2156,0,870.0,1368.6217905774479,78.31899799930397,9817.119190003723,103.0,11.764998780328375,0.0,870,1400,1600,2000,2600,3300,4100,4800,6900,9800,9800
