Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1610,0,2400.0,3529.856525201087,102.43802699551452,20358.212617997197,103.0,11.695297025459789,0.0,2400,2700,3900,4000,5700,8900,15000,18000,20000,20000,20000
,Aggregated,1610,0,2400.0,3529.856525201087,102.43802699551452,20358.212617997197,103.0,11.695297025459789,0.0,2400,2700,3900,4000,5700,8900,15000,18000,20000,20000,20000
